leverans_id,prenumeration_id,kund_id,pren_startdatum,paus_från,paus_till,pren_avslutsdatum,kasstyp,kostpreferens,antal_portioner,leveransvecka,leveransdatum,postnummer,veckapris,leveransstatus,recept_1,recept_2,recept_3,omdöme_text,omdömesdatum,omdömesbetyg
LEV-2024-000748,PREN-1118,KUND-05117,2024-09-06,,,,Klassisk,Laktosfri,6,2024-W37,2024-09-10,20792,929,Levererad,Kyckling Tikka Masala,Laxfile med potatismos,Fläskfilé med gräddsås,,,
LEV-2024-000749,PREN-1120,KUND-05119,2024-09-08,,,,Vegetarisk,Standard,2,W37-2024,2024-09-11,90847,479,Levererad,Grönsaksgratäng,Pasta med pesto och mozarella,Falafel med hummus,Enkel att laga och gott resultat. Sparar tid i vardagen!,2024-09-13,5
LEV-2024-000750,PREN-1128,KUND-05127,2024-04-19,,,,Klassisk,Standard,2,2024-W37,2024-09-09,41358,499,Levererad,Biff med bearnaise,Kyckling Tikka Masala,Panerad fisk med remouladsås,,,
LEV-2024-000751,PREN-1131,KUND-05130,2024-08-14,,,,Familj,Ingen preferens,4,2024-W37,2024-09-11,21036,719 kr,Levererad,Korv stroganoff,Fiskpinnar med potatismos,Tacos,Goda recept denna vecka! Speciellt Fiskpinnar med potatismos.,2024-09-13,4
LEV-2024-000752,PREN-1134,KUND-05133,2024-08-26,,,,Klassisk,Standard,2,vecka 37,2024-09-09,11531,499,Levererad,Kyckling Tikka Masala,Köttfärssås med pasta,Biff med bearnaise,Lagom. Varken bättre eller sämre än förväntat.,2024-09-11,3
LEV-2024-000753,PREN-1137,KUND-05136,2024-05-09,,,,Klassisk,Standard,2 st,2024-W37,2024-09-09,21132,499,Levererad,Biff med bearnaise,Köttfärssås med pasta,Kyckling Tikka Masala,,,
LEV-2024-000754,PREN-1138,KUND-05137,2024-08-28,,,,Klassisk,,4,2024-W37,2024-09-11,40951,719,Levererad,Fläskfilé med gräddsås,Pasta Carbonara,Köttfärssås med pasta,,,
LEV-2024-000755,PREN-1140,KUND-05139,2024-09-06,,,,Vegetarisk,Standard,4,2024-W37,2024-09-11,70067,679,Levererad,Pasta med pesto och mozarella,Vegetarisk lasagne,Vegansk burrito bowl,Överraskad över hur gott det blev! Ny favoriträtt.,2024-09-17,4
LEV-2024-000756,PREN-1142,KUND-05141,2024-08-14,,,2024-10-16,Vegetarisk,Standard,2,2024-W37,2024-09-11,10653,479,Levererad,Grönsaksgratäng,Svamprisotto,Halloumisallad,,,
LEV-2024-000757,PREN-1144,KUND-05143,2024-05-08,,,,Snabb & Enkel,Standard,4,2024-W37,2024-09-11,40286,659,Levererad,Toast med avokado och ägg,15-minuters wok,Snabb pasta pesto,Älskar att slippa planera middagar. Tack!,2024-09-14,4
LEV-2024-000758,PREN-1145,KUND-05144,2024-06-25,,,,Familj,Standard,6,2024-W37,2024-09-11,41821,919,Missad,Pizza med färskost,Korv stroganoff,Chicken nuggets-sallad,Inget paket denna vecka trots att jag betalat.,2024-09-14,1
LEV-2024-000759,PREN-1146,KUND-05145,2024-07-03,,,,Klassisk,Fläskfri,2,2024-W37,2024-09-11,41338,499,Levererad,Biff med bearnaise,Kyckling Tikka Masala,Panerad fisk med remouladsås,,,
LEV-2024-000760,PREN-1147,KUND-05146,2024-08-18,,,,Familj,Glutenfri,4,2024-W37,2024-09-10,11926,769,Levererad,Pannkakor med sylt,Korv stroganoff,Köttbullar med makaroner,Barnen älskade Köttbullar med makaroner. Kommer definitivt beställa igen!,2024-09-17,5
LEV-2024-000761,PREN-1149,KUND-05148,2024-07-24,,,,Vegetarisk,unknown,4,2024-W37,2024-09-10,10349,709,Levererad,Svamprisotto,Vegetarisk lasagne,Thai-curry med tofu,,,
LEV-2024-000762,PREN-1152,KUND-05151,2024-08-21,,,2024-10-02,Snabb & Enkel,unknown,4,2024-W37,2024-09-10,10130,689,Levererad,Sallad med räkor,Quesadillas,15-minuters wok,,,
LEV-2024-000763,PREN-1156,KUND-05155,2024-07-19,,,,Klassisk,Standard,2,2024-W37,2024-09-10,10691,499,LEVERERAD,Laxfile med potatismos,Kycklinggryta med ris,Fläskfilé med gräddsås,Enkel att laga och gott resultat. Sparar tid i vardagen!,2024-09-12,5
LEV-2024-000764,PREN-1157,KUND-05156,2024-08-17,,,,Klassisk,Normal,"""2""",2024-W37,2024-09-11,10610,499,Levererad,Fläskfilé med gräddsås,Laxfile med potatismos,Biff med bearnaise,,,
LEV-2024-000765,PREN-1159,KUND-05158,2024-04-07,,,,Klassisk,standard,4,2024-W37,2024-09-11,80412,699,LEVERERAD,Laxfile med potatismos,Biff med bearnaise,Panerad fisk med remouladsås,,,
LEV-2024-000766,PREN-1160,KUND-05159,2024-04-28,,,,Familj,Laktosfri,4,2024-W37,2024-09-11,10853,749,Levererad,Barnens favorit-pasta,Tacos,Fiskpinnar med potatismos,,,
LEV-2024-000767,PREN-1164,KUND-05163,2024-07-09,,,,Klassisk,Standard,4 st,2024-W37,2024-09-09,11844,699,Levererad,Kycklinggryta med ris,Biff med bearnaise,Fläskfilé med gräddsås,Perfekta portionsstorlekar och fräscha ingredienser.,2024-09-16,4
LEV-2024-000768,PREN-1165,KUND-05164,2024-04-22,,,,Klassisk,Fläskfri,2,37,2024-09-09,10120,499,Levererad,Panerad fisk med remouladsås,Kycklinggryta med ris,Kyckling Tikka Masala,"Fungerar, men recepten börjar bli repetitiva.",2024-09-12,3
LEV-2024-000769,PREN-1167,KUND-05166,2024-04-09,,,,Klassisk,unknown,4,2024-W37,2024-09-11,10140,699,Levererad,Laxfile med potatismos,Pasta Carbonara,Kycklinggryta med ris,,,
LEV-2024-000770,PREN-1168,KUND-05167,2024-08-25,,,,Klassisk,Standard,4,2024-W37,2024-09-10,11719,699,Levererad,Pasta Carbonara,Kycklinggryta med ris,Köttfärssås med pasta,Perfekta portionsstorlekar och fräscha ingredienser.,2024-09-12,4
LEV-2024-000771,PREN-1169,KUND-05168,2024-07-12,,,,Klassisk,Standard,6,2024-W37,2024-09-10,10273,899,Levererad,Biff med bearnaise,Laxfile med potatismos,Panerad fisk med remouladsås,,,
LEV-2024-000772,PREN-1170,KUND-05169,2024-05-02,,,,KLASSISK,unknown,4,2024-W37,2024-09-09,90498,699 kr,Missad,Biff med bearnaise,Kyckling Tikka Masala,Kycklinggryta med ris,"Var är min matkasse?! Ingen info, ingen leverans.",2024-09-11,1
LEV-2024-000773,PREN-1172,KUND-05171,2024-07-03,,,,Vegetarisk,Standard,2,2024-W37,2024-09-11,10713,479,Levererad,Vegansk burrito bowl,Halloumisallad,Svamprisotto,Barnen älskade Vegansk burrito bowl. Kommer definitivt beställa igen!,2024-09-15,5
LEV-2024-000774,PREN-1174,KUND-05173,2024-04-20,,,,Klassisk,Standard,0,2024-W37,2024-09-10,60891,499,Missad,Laxfile med potatismos,Köttfärssås med pasta,Pasta Carbonara,Missad leverans IGEN. Funderar på att avsluta.,2024-09-13,1
LEV-2024-000775,PREN-1176,KUND-05175,2024-04-22,,,,Standard,Standard,4,2024-W37,2024-09-09,10488,699,Missad,Fläskfilé med gräddsås,Köttfärssås med pasta,Biff med bearnaise,,,
LEV-2024-000776,PREN-1178,KUND-05177,2024-06-08,,,,Familj,Laktosfri,4,2024-W37,2024-09-11,,749,Levererad,Korv stroganoff,Pizza med färskost,Fiskpinnar med potatismos,Goda recept denna vecka! Speciellt Pizza med färskost.,2024-09-15,4
LEV-2024-000777,PREN-1179,KUND-05178,2024-06-03,,,,Familj,Standard,4,2024-W37,2024-09-11,10030,719,Delivered,Pannkakor med sylt,Pizza med färskost,Tacos,,,
LEV-2024-000778,PREN-1180,KUND-05179,2024-09-04,,,2024-10-02,Klassisk,Glutenfri,2,v37,2024-09-09,80561,549,Missad,Kyckling Tikka Masala,Panerad fisk med remouladsås,Laxfile med potatismos,,,
LEV-2024-000779,PREN-1184,KUND-05183,2024-09-01,,,2024-09-29,Snabb & Enkel,,4,v37,2024-09-09,21165,659,Levererad,Snabb pasta pesto,15-minuters wok,Quesadillas,Gott men för lite grönsaker i familjevarianten.,2024-09-12,3
LEV-2024-000780,PREN-1188,KUND-05187,2024-07-27,,,,Klassisk,Glutenfri,2,2024-W37,2024-09-11,60530,549,LEVERERAD,Panerad fisk med remouladsås,Biff med bearnaise,Kyckling Tikka Masala,Gott men för lite grönsaker i familjevarianten.,2024-09-14,3
LEV-2024-000781,PREN-1189,KUND-05188,2024-08-31,,,,Klassisk,Glutenfri,4,2024-W37,2024-09-10,40470,749,Levererad,Kycklinggryta med ris,Panerad fisk med remouladsås,Pasta Carbonara,,,
LEV-2024-000782,PREN-1193,KUND-05192,2024-07-16,,,,Vegetarisk,Standard,4,2024-W37,2024-09-10,50027,679,Levererad,Vegansk burrito bowl,Halloumisallad,Grönsaksgratäng,,,
LEV-2024-000783,PREN-1196,KUND-05195,2024-06-17,,,,Familj,Laktosfri,4,2024-W37,2024-09-09,20754,749,Levererad,Barnens favorit-pasta,Tacos,Pannkakor med sylt,,,
LEV-2024-000784,PREN-1201,KUND-05200,2024-04-24,,,,Familj,Standard,6,2024-W37,2024-09-11,50032,919,Levererad,Tacos,Pannkakor med sylt,Fiskpinnar med potatismos,Perfekta portionsstorlekar och fräscha ingredienser.,2024-09-18,4
LEV-2024-000785,PREN-1203,KUND-05202,2024-06-26,,,2024-11-30,Klassisk,Fläskfri,4,2024-W37,2024-09-11,20274,0,Levererad,Kycklinggryta med ris,Laxfile med potatismos,Fläskfilé med gräddsås,,,
LEV-2024-000786,PREN-1205,KUND-05204,2024-08-11,,,2024-10-20,Klassisk,unknown,2,2024-W37,2024-09-10,80751,499,LEVERERAD,Biff med bearnaise,Kyckling Tikka Masala,Köttfärssås med pasta,Lagom. Varken bättre eller sämre än förväntat.,2024-09-13,3
LEV-2024-000787,PREN-1208,KUND-05207,2024-05-28,,,,Klassisk,Standard,2,2024-W37,2024-09-10,41957,499,Levererad,Kycklinggryta med ris,Laxfile med potatismos,Panerad fisk med remouladsås,,,
LEV-2024-000788,PREN-1210,KUND-05209,2024-04-21,,,,Snabb & Enkel,Standard,4,2024-W37,2024-09-11,60383,659,Levererad,Toast med avokado och ägg,Snabb tomatsoppa,Wrap med kyckling,,,
LEV-2024-000789,PREN-1212,KUND-05211,2024-04-16,,,,Vegetarisk,Standard,"""2""",2024-W37,2024-09-11,10410,479,Levererad,Pasta med pesto och mozarella,Vegansk burrito bowl,Svamprisotto,,,
LEV-2024-000790,PREN-1215,KUND-05214,2024-08-15,,,,Klassisk,Fläskfri,4,2024-W37,2024-09-10,41469,699,Levererad,Laxfile med potatismos,Fläskfilé med gräddsås,Kycklinggryta med ris,,,
LEV-2024-000791,PREN-1216,KUND-05215,2024-08-16,,,2024-10-04,KLASSISK,Standard,4,2024-W37,2024-09-10,10324,SEK 699,Levererad,Kycklinggryta med ris,Panerad fisk med remouladsås,Kyckling Tikka Masala,,,
LEV-2024-000792,PREN-1218,KUND-05217,2024-06-03,,,,Familj,Standard,4,2024-W37,2024-09-09,10027,719,Levererad,Pizza med färskost,Barnens favorit-pasta,Korv stroganoff,,,
LEV-2024-000793,PREN-1219,KUND-05218,2024-06-22,,,2024-10-07,Vegetarisk,Laktosfri,4,2024-W37,2024-09-09,10294,709,Levererad,Thai-curry med tofu,Halloumisallad,Pasta med pesto och mozarella,Laktosfri-recepten är så tråkiga jämfört med vanliga.,2024-09-12,2
LEV-2024-000794,PREN-1220,KUND-05219,2024-08-22,,,,Snabb & Enkel,Glutenfri,6,2024-W37,2024-09-09,40681,909,Missad,Quesadillas,Wrap med kyckling,Snabb pasta pesto,"Var är min matkasse?! Ingen info, ingen leverans.",2024-09-10,2
LEV-2024-000795,PREN-1001,KUND-05000,2024-09-12,,,,Standard,Laktosfri,2,2024-W38,2024-09-16,10196,529,LEVERERAD,Kycklinggryta med ris,Biff med bearnaise,Pasta Carbonara,,,
LEV-2024-000796,PREN-1002,KUND-05001,2024-04-10,,,,Klassisk,Standard,4,2024-W38,2024-09-18,10393,699,LEVERERAD,Kyckling Tikka Masala,Laxfile med potatismos,Köttfärssås med pasta,,,
LEV-2024-000797,PREN-1004,KUND-05003,2024-09-03,,,,Classic,Standard,4,2024-W38,2024-09-18,10620,699,Levererad,Laxfile med potatismos,Fläskfilé med gräddsås,Panerad fisk med remouladsås,,,
LEV-2024-000798,PREN-1005,KUND-05004,2024-09-07,,,,Snabb & Enkel,Standard,2,v38,2024-09-17,10347,459,Levererad,Wrap med kyckling,Toast med avokado och ägg,Ramen-nudlar,Bästa matkassen vi testat. Rekommenderas!,2024-09-22,5
LEV-2024-000799,PREN-1007,KUND-05006,2024-09-04,,,,Vegetarian,Standard,2,2024-W38,2024-09-16,20491,479,Missad,Vegansk burrito bowl,Thai-curry med tofu,Halloumisallad,,,
LEV-2024-000800,PREN-1009,KUND-05008,2024-09-16,,,,vegetarisk,Glutenfri,4,2024-W38,2024-09-17,10241,729,Levererad,Vegetarisk lasagne,Grönsaksgratäng,Pasta med pesto och mozarella,,,
LEV-2024-000801,PREN-1017,KUND-05016,2024-05-26,,,2024-09-24,Snabb & Enkel,Laktosfri,4,2024-W38,2024-09-18,40695,689,Levererad,Quesadillas,Snabb tomatsoppa,Ramen-nudlar,"Helt okej, men inget speciellt denna vecka.",2024-09-24,3
LEV-2024-000802,PREN-1021,KUND-05020,2024-07-16,,,,Vegetarisk,Laktosfri,4,2024-W38,2024-09-16,80117,709,Missad,Halloumisallad,Pasta med pesto och mozarella,Vegansk burrito bowl,,,
LEV-2024-000803,PREN-1023,KUND-05022,2024-04-21,,,,Klassisk,,4,2024-W38,2024-09-16,10811,749,Missed,Fläskfilé med gräddsås,Biff med bearnaise,Kycklinggryta med ris,"Var är min matkasse?! Ingen info, ingen leverans.",2024-09-17,2
LEV-2024-000804,PREN-1026,KUND-05025,2024-08-18,,,2024-09-29,Klassisk,Standard,2,2024-W38,2024-09-17,20830,499,Levererad,Pasta Carbonara,Köttfärssås med pasta,Kyckling Tikka Masala,Överraskad över hur gott det blev! Ny favoriträtt.,2024-09-19,4
LEV-2024-000805,PREN-1027,KUND-05026,2024-09-01,,,,Klassisk,Glutenfri,4,2024-W38,2024-09-18,70941,749,Levererad,Fläskfilé med gräddsås,Pasta Carbonara,Biff med bearnaise,,,
LEV-2024-000806,PREN-1029,KUND-05028,2024-06-17,,,,Vegetarisk,Nötfri,6,W38-2024,2024-09-18,10982,899,Levererad,Falafel med hummus,Vegetarisk lasagne,Pasta med pesto och mozarella,,,
LEV-2024-000807,PREN-1031,KUND-05030,2024-09-16,,,2024-09-30,Vegetarisk,Standard,4,2024-W38,2024-09-16,60127,679,Levererad,Grönsaksgratäng,Vegansk burrito bowl,Vegetarisk lasagne,Goda recept denna vecka! Speciellt Vegetarisk lasagne.,2024-09-20,5
LEV-2024-000808,PREN-1033,KUND-05032,2024-04-25,,,,Vegetarisk,Glutenfri,2,2024-W38,2024-09-16,11291,529,Delivered,Grönsaksgratäng,Falafel med hummus,Pasta med pesto och mozarella,,,
LEV-2024-000809,PREN-1034,KUND-05033,2024-08-23,,,,Klassisk,Standard,6,2024-W38,2024-09-16,60814,899,Levererad,Köttfärssås med pasta,Biff med bearnaise,Fläskfilé med gräddsås,,,
LEV-2024-000810,PREN-1036,KUND-05035,2024-08-23,,,,Snabb & Enkel,Standard,4,v38,2024-09-18,10330,659,Levererad,Toast med avokado och ägg,15-minuters wok,Wrap med kyckling,Lagom. Varken bättre eller sämre än förväntat.,2024-09-20,3
LEV-2024-000811,PREN-1039,KUND-05038,2024-05-29,,,,Klassisk,Standard,2,2024-W38,2024-09-16,50454,499,Levererad,Köttfärssås med pasta,Pasta Carbonara,Laxfile med potatismos,,,
LEV-2024-000812,PREN-1042,KUND-05041,2024-08-13,,,,Snabb & Enkel,Standard,4,2024-W38,2024-09-18,41356,659,Levererad,Sallad med räkor,Toast med avokado och ägg,Quesadillas,,,
LEV-2024-000813,PREN-1044,KUND-05043,2024-07-14,,,,Familj,Standard,4,2024-W38,2024-09-16,40696,719,Levererad,Fiskpinnar med potatismos,Tacos,Barnens favorit-pasta,,,
LEV-2024-000814,PREN-1045,KUND-05044,2024-08-20,,,,Familj,Standard,4,2024-W38,2024-09-18,41993,719:-,Levererad,Pannkakor med sylt,Chicken nuggets-sallad,Korv stroganoff,,,
LEV-2024-000815,PREN-1047,KUND-05046,2024-09-07,,,2024-09-21,Klassisk,Laktosfri,4,v.38,2024-09-16,40335,729,Levererad,Biff med bearnaise,Fläskfilé med gräddsås,Köttfärssås med pasta,Äntligen vegetariska recept som hela familjen gillar.,2024-09-23,4
LEV-2024-000816,PREN-1048,KUND-05047,2024-08-01,,,2024-07-18,Vegetarisk,LF,4,v.38,2024-09-16,60934,709,Levererad,Pasta med pesto och mozarella,Falafel med hummus,Thai-curry med tofu,Varför är laktosfri-alternativen alltid sämre?,2024-09-23,2
LEV-2024-000817,PREN-1050,KUND-05049,2024-08-12,,,,Vegetarisk,Standard,6,2024-W38,2024-09-16,10269,879,Levererad,Vegetarisk lasagne,Falafel med hummus,Halloumisallad,,,
LEV-2024-000818,PREN-1051,KUND-05050,2024-09-01,,,,Standard,Laktosfri,4,2024-W38,2024-09-16,50864,729,Levererad,Fläskfilé med gräddsås,Köttfärssås med pasta,Kycklinggryta med ris,,,
LEV-2024-000819,PREN-1054,KUND-05053,2024-05-11,,,,Family,Standard,4,2024-W38,2024-09-18,21617,719,Missad,Korv stroganoff,Fiskpinnar med potatismos,Pizza med färskost,Inget paket denna vecka trots att jag betalat.,2024-09-20,1
LEV-2024-000820,PREN-1055,KUND-05054,2024-04-07,,,,Snabb & Enkel,Laktosfri,2,2024-W38,2024-09-16,10548,489,Levererad,Ramen-nudlar,15-minuters wok,Snabb tomatsoppa,Goda recept denna vecka! Speciellt Ramen-nudlar.,2024-09-23,4
LEV-2024-000821,PREN-1058,KUND-05057,2024-08-31,,,2024-10-05,Vegetarisk,Standard,4,2024-W38,2024-09-16,10733,679,Levererad,Pasta med pesto och mozarella,Grönsaksgratäng,Svamprisotto,,,
LEV-2024-000822,PREN-1059,KUND-05058,2024-07-27,,,,Klassisk,Laktosfri,2,2024-W38,2024-09-18,41642,529,Levererad,Pasta Carbonara,Biff med bearnaise,Panerad fisk med remouladsås,,,
LEV-2024-000823,PREN-1062,KUND-05061,2024-06-20,,,,Vegetarisk,,2,2024-W38,2024-09-17,70319,499,Missad,Grönsaksgratäng,Pasta med pesto och mozarella,Thai-curry med tofu,Leveransen kom aldrig fram. Helt oacceptabelt!,2024-09-18,1
LEV-2024-000824,PREN-1064,KUND-05063,2024-08-09,,,,Vegetarisk,Standard,4,2024-W38,2024-09-17,,679,Levererad,Svamprisotto,Pasta med pesto och mozarella,Halloumisallad,Äntligen vegetariska recept som hela familjen gillar.,2024-09-24,4
LEV-2024-000825,PREN-1067,KUND-05066,2024-07-29,,,,Vegetarisk,Standard,2,2024-W38,2024-09-18,20533,0,Levererad,Vegetarisk lasagne,Grönsaksgratäng,Thai-curry med tofu,,,
LEV-2024-000826,PREN-1072,KUND-05071,2024-08-30,,,2024-09-20,Snabb & Enkel,Standard,2,v38,2024-09-16,10347,459,Missad,Ramen-nudlar,15-minuters wok,Wrap med kyckling,Missad leverans IGEN. Funderar på att avsluta.,2024-09-17,2
LEV-2024-000827,PREN-1076,KUND-05075,2024-04-23,,,,Express,Standard,4,2024-W38,2024-09-16,,659,Missad,Toast med avokado och ägg,15-minuters wok,Wrap med kyckling,Missad leverans IGEN. Funderar på att avsluta.,2024-09-19,1
LEV-2024-000828,PREN-1083,KUND-05082,2024-09-15,,,,Klassisk,Standard,6,2024-W38,2024-09-18,11721,899,Levererad,Laxfile med potatismos,Pasta Carbonara,Fläskfilé med gräddsås,Enkel att laga och gott resultat. Sparar tid i vardagen!,2024-09-24,4
LEV-2024-000829,PREN-1084,KUND-05083,2024-06-23,,,,Familj,Glutenfri,4,2024-W38,2024-09-18,40494,769,Levererad,Tacos,Fiskpinnar med potatismos,Pizza med färskost,Älskar att slippa planera middagar. Tack!,2024-09-24,4
LEV-2024-000830,PREN-1085,KUND-05084,2024-07-27,,,,Klassisk,Standard,0,2024-W38,2024-09-17,,499,OK,Kyckling Tikka Masala,Pasta Carbonara,Köttfärssås med pasta,,,
LEV-2024-000831,PREN-1088,KUND-05087,2024-04-25,,,,Klassisk,Glutenfri,2,2024-W38,2024-09-16,70273,549,Missad,Panerad fisk med remouladsås,Köttfärssås med pasta,Biff med bearnaise,"Var är min matkasse?! Ingen info, ingen leverans.",2024-09-18,2
LEV-2024-000832,PREN-1091,KUND-05090,2024-08-28,,,,Snabb & Enkel,N/A,2,2024-W38,2024-09-17,SE-215 52,459,Levererad,15-minuters wok,Ramen-nudlar,Snabb pasta pesto,Goda recept denna vecka! Speciellt Ramen-nudlar.,2024-09-22,4
LEV-2024-000833,PREN-1092,KUND-05091,2024-06-23,,,,Express,FLÄSKFRI,2,2024-W38,2024-09-16,11615,459,Levererad,15-minuters wok,Ramen-nudlar,Snabb pasta pesto,,,
LEV-2024-000834,PREN-1094,KUND-05093,2024-04-27,,,,Snabb & Enkel,Normal,4,2024-W38,2024-09-17,20262,659,Missad,Sallad med räkor,Snabb pasta pesto,Toast med avokado och ägg,Leveransen kom aldrig fram. Helt oacceptabelt!,2024-09-18,1
LEV-2024-000835,PREN-1095,KUND-05094,2024-09-08,,,,Familj,Ingen preferens,6,2024-W38,2024-09-17,50858,919,Levererad,Barnens favorit-pasta,Korv stroganoff,Pizza med färskost,,,
LEV-2024-000836,PREN-1097,KUND-05096,2024-04-27,,,,Familj,Laktosfri,4,2024-W38,2024-09-17,10413,749,Levererad,Chicken nuggets-sallad,Köttbullar med makaroner,Pannkakor med sylt,,,
LEV-2024-000837,PREN-1098,KUND-05097,2024-06-03,,,,Veggie,Standard,4,2024-W38,2024-09-17,10188,679,Levererad,Svamprisotto,Halloumisallad,Thai-curry med tofu,,,
LEV-2024-000838,PREN-1109,KUND-05108,2024-09-05,,,,Klassisk,Standard,4,2024-W38,2024-09-18,60493,699,Levererad,Pasta Carbonara,Kyckling Tikka Masala,Köttfärssås med pasta,"Fungerar, men recepten börjar bli repetitiva.",2024-09-21,3
LEV-2024-000839,PREN-1110,KUND-05109,2024-08-06,,,,Klassisk,Standard,4,2024-W38,2024-09-16,11595,699,Levererad,Kyckling Tikka Masala,Pasta Carbonara,Laxfile med potatismos,,,
LEV-2024-000840,PREN-1111,KUND-05110,2024-08-18,,,,Standard,laktosfri,2,2024-W38,2024-09-17,11172,529,Levererad,Pasta Carbonara,Fläskfilé med gräddsås,Kyckling Tikka Masala,Priset är högt men sparar tid. På gränsen.,2024-09-23,3
LEV-2024-000841,PREN-1113,KUND-05112,2024-09-14,,,,Klassisk,Standard,2,2024-W38,2024-09-18,10721,499,Levererad,Kyckling Tikka Masala,Köttfärssås med pasta,Biff med bearnaise,,,
LEV-2024-000842,PREN-1114,KUND-05113,2024-04-07,,,,Klassisk,Standard,6,38,2024-09-18,41318,899,Levererad,Panerad fisk med remouladsås,Kyckling Tikka Masala,Biff med bearnaise,,,
LEV-2024-000843,PREN-1117,KUND-05116,2024-08-14,,,,KLASSISK,Ingen preferens,4,2024-W38,2024-09-17,11923,699,Levererad,Köttfärssås med pasta,Pasta Carbonara,Biff med bearnaise,Barnen älskade Biff med bearnaise. Kommer definitivt beställa igen!,2024-09-23,4
LEV-2024-000844,PREN-1118,KUND-05117,2024-09-06,,,,Klassisk,Laktosfri,6,2024-W38,2024-09-16,20792,929,Missad,Laxfile med potatismos,Panerad fisk med remouladsås,Fläskfilé med gräddsås,"Var är min matkasse?! Ingen info, ingen leverans.",2024-09-19,1
LEV-2024-000845,PREN-1120,KUND-05119,2024-09-08,,,,Vegetarisk,Standard,2,2024-W38,2024-09-18,90847,479,Levererad,Svamprisotto,Vegetarisk lasagne,Halloumisallad,Bra variation och tydliga instruktioner.,2024-09-22,4
LEV-2024-000846,PREN-1121,KUND-05120,2024-09-16,,,,Familj,Laktosfri,6,2024-W38,2024-09-18,10739,949,Levererad,Pannkakor med sylt,Köttbullar med makaroner,Tacos,Äntligen vegetariska recept som hela familjen gillar.,2024-09-22,4
LEV-2024-000847,PREN-1128,KUND-05127,2024-04-19,,,,Klassisk,Standard,2,2024-W38,2024-09-18,41358,499,Levererad,Pasta Carbonara,Kycklinggryta med ris,Fläskfilé med gräddsås,,,
LEV-2024-000848,PREN-1131,KUND-05130,2024-08-14,,,,FAMILJ,Standard,4,2024-W38,2024-09-18,21036,719,Levererad,Fiskpinnar med potatismos,Pannkakor med sylt,Köttbullar med makaroner,,,
LEV-2024-000849,PREN-1134,KUND-05133,2024-08-26,,,,Klassisk,Standard,2,38,2024-09-16,11531,499,Levererad,Panerad fisk med remouladsås,Kycklinggryta med ris,Kyckling Tikka Masala,,,
LEV-2024-000850,PREN-1137,KUND-05136,2024-05-09,,,,Klassisk,Standard,2,2024-W38,2024-09-17,21132,499,Levererad,Panerad fisk med remouladsås,Biff med bearnaise,Fläskfilé med gräddsås,,,
LEV-2024-000851,PREN-1138,KUND-05137,2024-08-28,,,,Klassisk,Nötfri,4,W38-2024,2024-09-17,40951,0,Levererad,Biff med bearnaise,Laxfile med potatismos,Kycklinggryta med ris,Enkel att laga och gott resultat. Sparar tid i vardagen!,2024-09-19,5
LEV-2024-000852,PREN-1139,KUND-05138,2024-05-10,2024-08-23,2024-09-12,2024-09-19,Klassisk,Standard,4,2024-W38,2024-09-18,41917,699,Levererad,Köttfärssås med pasta,Kyckling Tikka Masala,Fläskfilé med gräddsås,"Sådär. Några recept var bra, andra inte.",2024-09-25,3
LEV-2024-000853,PREN-1140,KUND-05139,2024-09-06,,,,Vegetarisk,Standard,4,2024-W38,2024-09-17,70067,679 kr,Levererad,Falafel med hummus,Grönsaksgratäng,Halloumisallad,,,
LEV-2024-000854,PREN-1142,KUND-05141,2024-08-14,,,2024-10-16,Vegetarisk,,2,2024-W38,2024-09-17,10653,479,Levererad,Vegetarisk lasagne,Pasta med pesto och mozarella,Falafel med hummus,,,
LEV-2024-000855,PREN-1144,KUND-05143,2024-05-08,,,,Snabb & Enkel,,4,2024-W38,2024-09-18,40286,659,Levererad,Ramen-nudlar,15-minuters wok,Toast med avokado och ägg,"Bra vissa veckor, sämre andra. Ojämnt.",2024-09-22,3
LEV-2024-000856,PREN-1145,KUND-05144,2024-06-25,,,,Family,Standard,6,2024-W38,2024-09-18,41821,919,Levererad,Tacos,Barnens favorit-pasta,Köttbullar med makaroner,,,
LEV-2024-000857,PREN-1146,KUND-05145,2024-07-03,,,,Klassisk,Fläskfri,2,vecka 38,2024-09-16,41338,499,Levererad,Laxfile med potatismos,Köttfärssås med pasta,Panerad fisk med remouladsås,,,
LEV-2024-000858,PREN-1147,KUND-05146,2024-08-18,,,,Familj,glutenfri,4,2024-W38,2024-09-16,11926,769,Levererad,Tacos,Pannkakor med sylt,Chicken nuggets-sallad,Perfekta portionsstorlekar och fräscha ingredienser.,2024-09-22,5
LEV-2024-000859,PREN-1149,KUND-05148,2024-07-24,,,,Vegetarisk,laktosfri,4,2024-W38,2024-09-18,S-10349,709,Levererad,Vegetarisk lasagne,Halloumisallad,Pasta med pesto och mozarella,,,
LEV-2024-000860,PREN-1152,KUND-05151,2024-08-21,,,2024-10-02,Snabb & Enkel,Laktosfri,4,2024-W38,2024-09-16,10130,689,Levererad,Toast med avokado och ägg,Ramen-nudlar,Wrap med kyckling,Dålig kvalitet på köttet denna vecka.,2024-09-20,2
LEV-2024-000861,PREN-1156,KUND-05155,2024-07-19,,,,Klassisk,Standard,2,2024-W38,2024-09-17,10691,499,Levererad,Fläskfilé med gräddsås,Biff med bearnaise,Kycklinggryta med ris,,,
